item,itemLabel,orcid
https://portal.mardi4nfdi.de/entity/Q60025,Maximilian Maier,0000-0002-9873-6096
https://portal.mardi4nfdi.de/entity/Q60033,Maarten Marsman,0000-0001-5309-7502
https://portal.mardi4nfdi.de/entity/Q60051,Don van Ravenzwaaij,0000-0002-5030-4091
https://portal.mardi4nfdi.de/entity/Q60058,Jakob Bossek,0000-0002-4121-4668
https://portal.mardi4nfdi.de/entity/Q60065,Jonas Maziero,0000-0002-2872-986X
https://portal.mardi4nfdi.de/entity/Q71861,Reto Buergin,0000-0002-6212-1567
https://portal.mardi4nfdi.de/entity/Q60867,Teemu Daniel Laajala,0000-0002-7016-7354
https://portal.mardi4nfdi.de/entity/Q60894,Taras Zakharko,0000-0001-7601-8424
https://portal.mardi4nfdi.de/entity/Q60914,Aiora Zabala,0000-0001-8534-3325
https://portal.mardi4nfdi.de/entity/Q60934,Ozvan Bocher,0000-0002-2467-9236
https://portal.mardi4nfdi.de/entity/Q60948,Hervé Perdry,0000-0001-7570-1678
https://portal.mardi4nfdi.de/entity/Q62176,Francisco Martinez,0000-0002-5206-1898
https://portal.mardi4nfdi.de/entity/Q99645,Hideo Aizaki,0000-0002-7921-7055
https://portal.mardi4nfdi.de/entity/Q73400,Brandon P.m. Edwards,0000-0003-0865-3076
https://portal.mardi4nfdi.de/entity/Q141024,Kisung You,0000-0002-8584-459X
https://portal.mardi4nfdi.de/entity/Q186369,Tero Aittokallio,0000-0002-0886-9769
https://portal.mardi4nfdi.de/entity/Q254414,Tom M. Palmer,0000-0003-4655-4511
https://portal.mardi4nfdi.de/entity/Q869976,Terry Speed,0000-0002-5403-7998
https://portal.mardi4nfdi.de/entity/Q869976,Terence P. Speed,0000-0002-5403-7998
https://portal.mardi4nfdi.de/entity/Q57170,Scott Chamberlain,0000-0003-1444-9135
https://portal.mardi4nfdi.de/entity/Q57172,Wush Wu,0000-0001-5180-0567
https://portal.mardi4nfdi.de/entity/Q57173,Florian Mayer,0000-0003-4269-4242
https://portal.mardi4nfdi.de/entity/Q57175,Francisco Alves,0000-0003-3390-0534
https://portal.mardi4nfdi.de/entity/Q57202,Thomas Lin Pedersen,0000-0002-5147-4711
https://portal.mardi4nfdi.de/entity/Q57216,John Fox,0000-0002-1196-8012
https://portal.mardi4nfdi.de/entity/Q57227,Christian Kleiber,0000-0002-6781-4733
https://portal.mardi4nfdi.de/entity/Q57234,Kurt Hornik,0000-0003-4198-9911
https://portal.mardi4nfdi.de/entity/Q57234,Kurt Hornik,0000-0003-4198-9911
https://portal.mardi4nfdi.de/entity/Q57243,Achim Zeileis,0000-0003-0918-3766
https://portal.mardi4nfdi.de/entity/Q57243,Achim Zeileis,0000-0003-0918-3766
https://portal.mardi4nfdi.de/entity/Q57298,Kirill Müller,0000-0002-1416-3412
https://portal.mardi4nfdi.de/entity/Q57369,Friedrich Leisch,0000-0001-7278-1983
https://portal.mardi4nfdi.de/entity/Q57369,Friedrich Leisch,0000-0001-7278-1983
https://portal.mardi4nfdi.de/entity/Q58196,Jeroen Ooms,0000-0002-4035-0289
https://portal.mardi4nfdi.de/entity/Q57250,Iñaki Ucar,0000-0001-6403-5550
https://portal.mardi4nfdi.de/entity/Q57258,Richard J Telford,0000-0001-9826-3076
https://portal.mardi4nfdi.de/entity/Q57269,Marta Kuc-Czarnecka,0000-0003-2970-9980
https://portal.mardi4nfdi.de/entity/Q57270,Michal Bernard Pietrzak,0000-0002-9263-4478
https://portal.mardi4nfdi.de/entity/Q57271,Olgun Aydin,0000-0002-7090-0931
https://portal.mardi4nfdi.de/entity/Q57284,Jonathan M. Mang,0000-0003-0518-4710
https://portal.mardi4nfdi.de/entity/Q57286,Lorenz A. Kapsner,0000-0003-1866-860X
https://portal.mardi4nfdi.de/entity/Q57329,Michal Bojanowski,0000-0001-7503-852X
